Professor,Rating,Would Take Again (%),Difficulty,Department
Colin King,5.0,100,1.5,Physical Education
Michael Dennis,4.4,96,2.7,History
Stephen Henderson,4.5,71,2.8,History
Karmen Bleile,4.0,45,4.2,Psychology
Iain Beaton,5.0,100,2.6,Mathematics
Christian Thomas,4.8,100,2.0,Languages
Marina Davidson,2.1,34,3.5,Languages
Ryan Brothers,3.0,50,2.0,Business
Kenneth Leslie,4.1,90,2.2,Psychology
Barry Watson,5.0,100,1.3,Economics
Hassan Sarhadi,3.1,55,3.2,Business
Tavis Bragg,5.0,100,2.7,Computer Science
Nancy Thompson,2.3,34,5.0,Communication
Richard Cunningham,3.4,44,3.4,English
Glyn Bissix,3.1,17,3.5,Kinesiology
Michael Devine,3.4,25,3.4,Theater
Trevor Avery,3.5,60,3.3,Biology
Melanie Coombs,2.8,46,4.4,Biology
Scott Landry,4.2,90,3.7,Physical Education
Laura Duke-Churchill,5.0,100,2.5,Communication
Harish Kapoor,2.1,15,4.1,Business
Ryan MacNeil,4.8,100,2.7,Business
Stephen MacLean,4.3,84,3.3,Finance
Nathan Grieve,4.1,72,2.7,Mathematics
Scott Furlotte,4.4,100,2.3,Psychology
Vlad Zamlynn,3.3,67,3.7,Chemistry
Jordan Sheridan,2.7,37,4.3,English
Katie Mazer,1.7,34,3.0,Women's Studies
Donna Sears,2.0,14,4.1,Business
Geoffrey Whitehall,2.7,42,4.3,Political Science
Jamie Whidden,2.8,15,3.1,History
Rachel Brickner,4.8,95,3.1,Political Science
Hassouna Moussa,3.1,15,2.9,Economics
Amitabh Jha,3.6,54,3.3,Chemistry
Matthew Lukeman,4.8,100,2.6,Chemistry
Stephanie Gauvin,4.1,80,2.3,Psychology
James Brittain,4.7,97,2.2,Sociology
Daniel Blustein,2.8,38,3.9,Psychology
Holger Teismann,3.7,72,3.3,Mathematics
Conor Vibert,2.4,46,3.3,Business
Sazia Mahfuz,2.8,75,2.8,Computer Science
Angelo Posteraro,4.5,85,2.6,Engineering
Erin Crandall,4.5,93,2.8,Political Science
Nancy Clarke,3.4,25,3.8,Mathematics
Jessica Slights,3.9,65,3.2,English
Paula Rockwell,4.4,80,2.7,Music
Catherine Murimboh,4.7,100,2.8,Chemistry
Kirk Hillier,3.8,67,3.4,Biology
Danielle Quinn,5.0,100,1.6,Mathematics
Garret Allen,5.0,100,2.3,Biology
Ayman Aljarrah,2.0,0,2.0,Mathematics
Kendra Sampson,2.0,50,3.0,Biology
Chelsey Hall,5.0,100,3.0,Physical Education
Eugene Cormier,4.2,86,3.3,Music
Peter Williams,4.8,93,2.4,Physics
Anna Kiefte,4.8,100,2.8,Physics
Glenys Gibson,4.9,100,3.5,Biology
Zhemeng (Sunny) Wu,5.0,100,1.5,Psychology
Marc Ramsay,4.0,55,2.8,Philosophy
Franklin Mendivil,4.7,100,2.4,Mathematics
Ryan Stack,4.7,93,1.6,Business
Craig Bennett,3.4,43,3.2,Science
Jose Lefebvre,2.0,37,3.8,Biology
Sarah Rudrum,4.2,73,2.4,Sociology
Craig Bennet,1.8,25,4.3,Physics
Anne Sophie Champod,3.5,60,3.8,Psychology
Allison Walker,4.3,80,2.3,Biology
Aaron Taylor,4.6,91,3.0,History
Sara Maleki,1.0,0,4.9,Engineering
Syed Safwan,5.0,100,1.0,Computer Science
Claire Jewell,3.8,0,2.3,English
Hugh Chipman,5.0,100,2.3,Mathematics
Teri Gullon,4.7,99,3.1,Chemistry
Bernard Delpeche,3.4,88,1.5,Languages
Justin Beaudoin,4.6,91,2.7,Economics
Jim Pulsifer,4.5,93,2.8,Mathematics
Stephanie Jones,4.5,88,2.9,Psychology
Brian Vanblarcom,4.0,75,2.9,Economics
Darcy Benoit,3.9,50,2.6,Computer Science
Matt Hazel,4.7,90,3.0,Biology
Brian Van Blarcom,1.8,17,3.8,Economics
Jason Holt,2.2,25,3.9,Communication
Roxanne Seaman,4.1,80,1.7,Physical Ed
Karen Kendall,1.8,16,2.9,Biology
Chaiti Seth,1.0,0,4.0,Culinary Arts
Daniel Lametti,4.7,95,2.5,Psychology
Randy Lynn Newman,4.9,100,2.8,Psychology
Inna Viriasova,3.1,58,3.8,Political Science
Kevin Whetter,4.0,89,3.3,English
Anthony Tong,3.6,34,3.5,Chemistry
Burc Kayahan,3.6,69,4.0,Economics
Mark Adam,3.5,34,3.5,Music
Christine Moreau,5.0,100,2.3,Sociology
Natalie Swain,4.8,100,1.6,Classics
Sherman Boates,3.6,69,2.5,Biology
Emily Lockhart,5.0,100,3.0,Sociology
Zoe Panchen,2.5,0,2.0,Biology
Sarah Mackinnon,5.0,100,3.0,Physical Education
Todd Smith,4.8,94,2.8,Biology
René Murphy,2.6,0,3.7,Physical Ed
Helene D'Entremont,4.8,100,2.7,Science
Terrance Weatherbee,2.9,12,4.1,Business
John Colton,3.9,88,2.8,Physical Ed
Elyana Matos,5.0,100,5.0,Languages
Martin Tango,3.6,94,2.7,Engineering
Volodymyr Zamlynny,3.8,84,3.2,Chemistry
Gary Bustin,3.1,100,2.6,Engineering
Laura Ferguson,5.0,100,2.3,Biology
Deanne van Rooyen,5.0,100,2.0,Geology
Matt Durant,3.4,40,3.5,Science
Ian Feltmate,4.2,100,2.4,Business
Ann Marie Powers,4.5,67,2.6,Anthropology
Jonathon Fowles,4.3,100,2.7,Physical Ed
Tuma Wilson,5.0,100,1.9,Political Science
Emma Connon,4.3,100,2.6,Mathematics
Krissy Keech,5.0,100,2.0,Music
Wilson Lu,1.4,8,3.9,Mathematics
Christianne Rushton,2.9,50,4.2,Music
Michelle Boyd,4.5,88,3.2,Music
Jeffrey Sachs,3.0,60,3.8,Law
Richard Karsten,4.4,100,3.6,Mathematics
Robert Seale,2.6,56,3.1,Theater
Ann Dodge,4.4,84,2.9,Physical Ed
Jim Grant,1.6,0,3.0,Management
Ying Zhang,2.2,18,3.4,Mathematics
Robert Perrins,4.5,100,3.4,History
Wenxia Guo,3.7,86,2.0,Business
Haiyi Zhang,2.8,34,2.5,Computer Science
Michelle Byers,5.0,100,1.0,Business
Foroogh Mohammadi,2.8,40,3.0,Sociology
Martin Sichinga,1.3,0,4.5,Chemistry
John Hansen,2.6,0,3.0,Music
Greg Lee,3.5,62,2.9,Computer Science
Yinglei Wang,4.7,100,1.9,Business
Juan López,2.9,60,3.6,Biology
Clifford Stanley,2.6,25,4.0,Geology
Jeffrey Sachs,5.0,100,3.0,Political Science
Natalie Ghosn,3.4,80,1.8,Political Science
Donna Seamone,3.4,71,2.9,Religion
Stephen Ahern,3.1,32,3.5,English
Nandini Thiyagarajan,4.5,88,2.8,English
Mercedes Peters,5.0,100,2.7,History
Christopher Shields,3.7,67,2.3,Physical Education
Paul Doerr,3.9,84,2.8,History
Can Mutlu,4.7,92,3.4,Political Science
Sonia Hewitt,3.7,58,2.6,Classics
Jeff Banks,3.4,56,3.5,Chemistry
Mark Amegadize,0.0,,0.0,Engineering
Byron Peacock,4.0,80,2.2,Political Science
Stephane Goyette,4.0,100,3.0,Languages
Kelly Dye,4.7,86,2.2,Business
Jenny Rand,5.0,100,2.5,Sociology
Mary Sweatman,5.0,100,2.4,Social Work
Sabujkoli Bandopadhyay,4.0,100,4.0,Women's Studies
Jun Yang,3.2,60,3.3,Business
David Smart,4.2,86,1.9,Business
Josh D'entremont,5.0,100,2.3,Computer Science
Amir Eaman,3.5,50,2.5,Computer Science
Viktor Yakimtsov,3.0,0,3.0,Economics
Jeff Hooper,4.8,100,2.6,Mathematics
Mark Hopkins,4.1,84,3.2,Music
Nikola Hausen,5.0,100,2.0,Languages
Vernon Provencal,3.3,55,3.2,Classics
Lisa Price,4.2,60,2.5,Psychology
Jennifer Kershaw,5.0,100,1.2,Biology
Mike Stokesbury,3.9,75,3.0,Biology
Alex Marland,5.0,100,3.5,Political Science
Chris Thomas,4.6,100,2.3,Languages
Brian Wilson,3.8,100,3.6,Science
John Guiney-Yallop,3.0,50,3.3,Education
Svetlana Barkanova,4.2,100,2.0,Physics
James Sedgwick,2.7,16,3.8,History
Sonia Thon,2.9,17,3.7,Languages
J. Coplen Rose,4.0,50,3.5,English
Claire Mallin,4.6,100,2.4,Music
Alvarez Maria A,4.7,100,2.7,Business
Danielle Mercer,4.9,100,2.1,Business
Shadi Aljendi,2.0,0,3.0,Computer Science
Stephen Maitzen,3.9,67,2.9,Philosophy
Chelsea Gardner,4.0,75,2.5,Classics
Leo Coynault,1.7,0,3.0,Languages
Martha Cheney,3.5,63,3.0,Business
Tristaca Curley,3.9,100,2.6,Science
Kathryn Bell,2.9,40,3.8,Psychology
Nicoletta Faraone,4.7,100,3.3,Chemistry
Darlene Brodeur,3.3,29,3.1,Psychology
Jeanette Auger,4.0,67,2.2,Social Science
Jianan Peng,3.1,54,2.6,Mathematics
Kate Ashley,3.4,58,2.9,English
Julianna Will,4.5,50,3.5,English
Michelle Coleman-Aulenbach,3.0,25,2.8,Social Science
Laurel Ettinger,4.5,100,2.5,Science
Tyler Honeywood,1.0,0,1.0,Business
Henri Paratte,3.7,50,2.5,Languages
Marianne Clark,2.5,50,2.5,Physical Education
Mark Mallory,3.5,100,3.2,Biology
Emily Kennedy,2.0,15,4.1,Humanities
Samuel Chan,1.0,0,5.0,Finance
Charlene Boudreau,2.8,47,4.0,Business
Judith Lowe,2.0,0,1.0,Health Science
Linda-Lee Fifield,5.0,100,2.5,Languages
Nicholas D'Amato,3.7,72,2.7,Music
Doug Symons,2.9,45,2.9,Psychology
Rebecca Casey,3.6,100,3.5,Sociology
Andre Trudel,3.0,29,2.4,Computer Science
Bobby Ellis,4.4,92,3.8,Chemistry
Marianne Clark,4.0,100,2.0,Health Science
John Murimboh,3.3,100,3.5,Chemistry
Paul Arnold,2.5,10,3.7,Engineering
David Duke,4.4,100,3.6,History
Mahbub Mishu,5.0,100,3.0,Computer Science
Barry Fox,3.7,17,2.5,English
Xiao Ting Wang,2.9,40,3.2,Economics
Ken Shorley,4.5,67,2.3,Music
Marianne Clark,1.0,0,4.0,Sociology
Kesa Munroe-Anderson,1.0,0,3.0,Education
Robert Proulx,2.7,0,3.3,Languages
Jamie Symonds,4.9,100,2.5,Computer Science
Liesel Carrlson,4.5,100,2.8,Science
Gregory Succingeas,2.9,0,2.5,Languages
Anna Migliarsi,2.8,100,3.2,English
Anne Quema,3.5,34,3.8,English
Dave Shutler,2.5,25,4.1,Science
Maria Alvarez,3.8,100,2.4,Languages
Lesley Frank,3.3,50,2.6,Social Science
Giselle thompson,4.3,84,3.2,Sociology
Hamed Aly,4.5,88,3.5,Engineering
Heather Dahringer,3.2,29,3.2,Social Science
James Whidden,3.0,0,4.0,History
Don Stewart,3.9,0,3.1,Science
Tyler Honeywood,3.0,0,3.0,Finance
Morgan Snyder,4.2,60,2.4,Geology
Ian Spooner,4.7,100,1.8,Science
Cindy Trudel,3.4,72,2.9,Business
Lisa Robertson,4.9,100,2.5,Women's Studies
Scott Hennigar,4.4,100,1.5,Physical Ed
Paul Lauzon,4.5,80,2.1,Music
Michael Caines,1.0,0,3.0,Music
Lauren Lattimer,4.0,100,3.0,Physical Education
Carla Di Giorgio,4.4,100,2.2,Psychology
Julien Desrochers,4.7,100,1.7,Languages
Alireza Nafarieh,1.0,0,3.0,Computer Science
Renata Smolikova,1.0,0,2.0,Computer Science
Ruben Sandapen,1.0,0,2.0,Physics
Richard Sparkman,2.4,100,3.6,Business
Albert Ueli,4.0,100,2.0,Physical Education
Rodger Evans,3.2,60,3.0,Biology
Anthony Gracey,3.7,100,3.1,Women's Studies
Cindy Trudel,2.5,57,2.8,Computer Science
Claudine Bonner,3.5,75,3.4,Sociology
Ardith Haley,5.0,100,2.0,Music
Xiaoting Wang,5.0,100,2.0,Economics
Michael Sheppard,5.0,100,2.0,Business
Shanthi Johnson,3.3,0,3.0,Science
Smriti Srivastava,5.0,100,4.0,Chemistry
Nelson O'Driscoll,4.5,100,3.5,Science
Alice Cohen,3.7,50,3.6,Science
Wilson Wu,3.0,100,3.0,Mathematics
Patrick Leonard,5.0,100,2.0,Communication
Gabrielle Donnelly,5.0,100,2.5,Social Work
Danny Silver,2.9,50,3.3,Computer Science
Tomasz Müldner,3.0,0,3.6,Computer Science
Alan Warner,3.5,84,3.2,Not Specified
Jun Zhao,3.1,60,2.6,Economics
Duane Currie,4.3,84,3.8,Computer Science
Charles Baurin,4.1,84,1.8,Languages
Diane Holmberg,4.1,90,2.6,Psychology
Mike Kennedy,4.7,96,2.5,Business
CJ Bishop,3.0,100,3.3,Psychology
Saara Liinamaa,4.9,100,3.6,Sociology
Jeff Hennessy,4.5,100,2.4,Music
Erin Wunker,4.7,86,3.2,English
Paul Callaghan,2.7,0,3.1,Business
Connie Foote,2.2,0,2.7,Nutrition
Sue Conlan,1.8,0,3.0,Science
Alia Sajjad,4.8,100,2.8,Mathematics
Maxime Pelland,2.7,50,3.2,Psychology
Jim Diamond,3.5,100,4.3,Computer Science
Emily Leeson,2.7,50,3.3,Communication
Peter McLeod,3.3,40,4.0,Psychology
Dave Shutler,2.3,25,3.3,Biology
Susann Hudson,4.3,100,3.3,Theater
Oonagh Proudfoot,5.0,100,1.7,Women's Studies
Lachlan McWilliams,2.9,50,3.4,Psychology
Anna Saroli,4.4,67,3.0,Languages
Ian Hutchinson,4.8,100,3.2,Accounting
Robert Raeside,4.1,67,3.6,Science
Peir Pufahl,3.6,43,2.9,Geology
Steve Mockford,4.9,100,1.6,Biology
Leo Elshof,3.9,100,3.3,Education
Diemo Landgraf,1.7,0,3.3,Languages
Inder Marwah,4.0,100,3.0,Political Science
Abu Kamara,2.7,50,3.0,Sociology
Andrea Schwenke Wyile,3.0,0,3.7,English
Cynthia Trudel,1.0,0,2.0,Computer Science
Rick Mehta,3.8,78,3.1,Psychology
Phil Taylor,2.0,50,2.6,Biology
Patricia Corkum,2.7,67,3.8,Business
Romira Worvill,4.1,0,3.0,Languages
Paul Grant,3.7,72,3.7,English
Heather Hemming,2.6,0,3.2,Education
Michael Phillips,5.0,100,3.0,Education
Lerna Pehlivan,1.0,0,4.0,Mathematics
Barbara Moore,2.7,50,1.4,Social Science
Paul Barrett,4.4,100,3.6,English
James Depew,1.7,25,4.2,Political Science
Rene Murphy,4.0,100,3.0,Physical Education
Paul Stephenson,4.0,84,2.3,Mathematics
robert wilson,1.0,0,2.0,Religion
Eric Alcorn,2.5,12,3.5,Science
Kate Ashley,5.0,100,4.0,Languages
David Piper,3.7,100,3.1,Education
Glynis Ross,3.7,0,2.4,Education
Stephen Mockford,4.8,100,1.8,Science
Amanda Watson,4.4,100,2.2,Sociology
Malory Beazley,5.0,100,4.0,Women's Studies
Gillian Poulter,3.5,50,2.7,History
Dogra Shilpa,3.8,100,3.8,Physical Education
Stacy Bradley,3.9,100,3.2,Psychology
Gilbert McInnis,2.5,100,4.0,Theater
Susan Potter,4.4,67,2.7,Psychology
Pamela Swanigan,3.0,67,4.3,English
Karoline Garus,5.0,100,1.0,Languages
Darrell Crooks,1.5,0,3.6,Engineering
Tristan De Borba,4.0,100,4.0,Music
Bryan Latta,3.0,100,2.9,Physics
Léa Pelletier,4.3,100,4.5,English
Phillip Munz,4.4,100,2.4,Mathematics
Paul Hobson,3.2,100,2.8,Economics
Soren Bondrup-Neilsen,3.4,100,2.5,Biology
Liz Nilsen,3.9,,2.4,Psychology
Jenipher Chitate,2.5,,5.0,Business
Tim Crystal,5.0,,1.0,Computer Science
Katherine Glen,3.6,,3.0,Music
Isabel Jung,4.5,,1.0,Languages
Robert Pitter,1.5,,4.1,Social Science
Dianne MacPhee,4.5,,2.5,English
"Sherri McFarland,",3.3,100,3.0,Chemistry
Randall Balcome,4.4,,2.3,Business
Henning Grashoff,4.8,,1.0,Languages
Emily Jackson,5.0,,2.0,Political Science
James Barrington,1.0,,4.0,English
Herb Wyile,3.4,,3.2,English
Sarah Vannier,4.5,,2.7,Psychology
Aimee Adams,1.5,,4.1,Biology
Anna Redden,4.7,,2.4,Biology
Danielle Cox,5.0,,2.5,Mathematics
Mandeep Bakshi,2.0,,3.2,Chemistry
Antonio Franceschet,3.4,,3.7,Political Science
Tony Thomson,4.6,,2.4,Social Science
Bernard Deschamps,4.0,,3.0,Languages
Anthony Thompson,5.0,,3.0,Sociology
Sonia Hewitt,2.5,,3.0,Languages
Ron Tomarelli,3.9,,3.1,Music
Barb Anderson,4.7,,1.7,Health Science
Linnea Veinotte,3.8,,2.0,Biology
Mark Young,2.8,,3.7,Computer Science
Ernie Buist,3.5,,3.9,Business
Leigh Whaley,3.2,,2.2,History
Oluyede Akinkugbe,2.1,,2.7,Economics
Linda Lusby,4.1,,1.5,Science
Martine Jacquot,3.4,,3.1,Professional Studies
Zelda Abramson,4.2,,2.6,Social Science
Jack Brownell,4.1,,2.8,Music
EL Jones,4.6,,2.0,Women's Studies
Amanda Bolton,4.5,,2.0,Psychology
Amzad Hossain,2.8,,3.0,Economics
Marlene Snyder,3.7,,2.4,Science
Laura Thompson,1.0,,3.0,Education
Sonya Major,3.3,,2.3,Psychology
Peter Togni,4.5,,1.0,Music
Heather Stephens,4.4,,2.0,Education
Soren Bondrup-Nielsen,4.5,,1.0,Biology
Marshall Bastable,3.0,,2.7,History
Wayne Staples,4.3,,1.8,Fine Arts
David Kristie,3.7,,3.2,Biology
Debbie Boutllier,4.8,,2.0,Mathematics
Stuart Leard,1.0,,3.0,Sociology
Bruce Matthews,4.6,,2.5,History
Ian Stewart,4.5,,2.9,Political Science
Parker Rogerson,3.0,,4.0,Chemistry
Ronald Haynes,4.7,,4.0,Mathematics
James Snowdon,3.1,,2.4,History
Scott Skjei,3.5,,3.9,Economics
Dan Toews,3.9,,2.9,Science
Greg Pyrcz,4.0,,3.1,Political Science
Tom Herman,4.3,,2.3,Science
Tomasz Muldner,3.0,,2.5,Computer Science
Linda Wheeldon,4.9,,2.6,Education
Emilie Gould,4.9,,1.7,Communication
Thomas Voss,4.0,,2.6,Languages
John Eustace,4.0,,4.0,English
Brenda Robertson,3.4,,3.4,Physical Ed
Darlene Wood,0.0,,0.0,Women's Studies
Nicolas Videau,0.0,,0.0,Languages
Rick Giles,4.2,,2.2,Computer Science
Andrei Gagarin,2.1,,3.5,Mathematics
Barry Cameron,2.6,,2.6,Geography
Barry Moody,4.5,,3.3,History
Elizabeth Johnston,3.3,,3.8,Science
Stephen Ash,3.6,,3.1,Marketing
Jean Dewolfe,2.7,,3.2,Law
Wendy Carroll,4.9,,2.8,Business
Lisa Houghton,1.9,,2.0,Science
Barry Corbin,4.2,,2.7,Education
James Pulsifer,3.5,,4.0,Business
Melony Robinson,5.0,,3.0,Business
Catherine Stanley,3.9,,2.2,Mathematics
John Davies,4.4,,2.9,Economics
Colin Bernhardt,3.9,,2.5,Fine Arts
Peter Little,3.9,,4.6,Sociology
Brenda Wallace-Allen,4.5,,1.8,Social Science
Pritam Ranjan,4.3,,2.2,Mathematics
Angeline Galampoix,5.0,,2.5,Languages
Audrey Laclef,4.5,,2.8,Languages
Valérie Vézina,4.0,,2.0,Political Science
Bruce Wood,4.8,,1.5,Business
ED Reekie,4.7,,3.0,Biology
Amy Thurlow,4.2,,2.3,Communication
Chris Scott,4.6,,1.6,Science
Anne Stieger,4.5,,2.0,Languages
May Zahra,2.0,,3.5,Languages
James Sacouman,3.9,,2.7,Social Science
May Abou Zahra,4.0,,2.0,Languages
John Sumarah,5.0,,2.3,Education
Tom Pattillo,4.3,,2.2,Business
Anoop Saxena,4.0,,3.0,Computer Science
Mike Dadswell,2.5,,3.6,Science
David Reid,2.5,,3.3,Education
Tim Ells,4.4,,2.6,Biology
Richard Davies,3.2,,3.4,English
Colin Bell,3.0,,3.5,Science
Phyllis Rippeyoung,4.5,,4.0,Sociology
Malcolm Grieve,3.8,,2.8,Political Science
Wood Darlene,1.0,,2.0,Women's Studies
Scott Follows,4.5,,2.3,Business
Steven Enman,3.7,,3.0,Law
Lau Keeping,4.8,,2.0,Business
Gordon Callon,3.2,,4.0,Music
Anthony Northey,1.0,,5.0,Languages
Tim Robertson,4.5,,1.0,Communication
Peter Horvath,4.2,,2.4,Psychology
